date,Bottom_average
2008-12,-0.08072586090380175
2008-11,0.02123904482359402
2008-10,-0.24112166413197414
2008-09,-0.353375104862789
2008-08,-0.15229257760742848
2008-07,0.032301850493664935
2008-06,-0.0025675556671940834
2008-05,-0.1585643931561244
2008-04,0.029128374891421737
2008-03,0.03007918484765499
2008-02,-0.009612869319185478
2008-01,-0.07767453928314764
2007-12,-0.028059407111972603
2007-11,-0.012177801949910446
2007-10,-0.1309309665469578
2007-09,0.009588177707527209
2007-08,0.0019152203633342544
2007-07,-0.01689566021407999
2007-06,-0.0436561514068297
2007-05,-0.0019520024251296485
2007-04,0.025551868805735272
2007-03,0.022345486966673836
2007-02,-0.005682769849588483
2007-01,-0.01574466579917407
2006-12,0.03628272692382249
2006-11,-0.005732879831463178
2006-10,0.05347301391676261
