date,Top_average
2008-11,0.020420059529905117
2008-10,-0.2642666953741893
2008-09,-0.4767831699970241
2008-08,-0.3047342993026093
2008-07,-0.06025008476734576
2008-06,-0.010060276309027893
2008-05,-0.13744539301595232
2008-04,-0.0028761247582513878
2008-03,0.019131935217064907
2008-02,0.002948189188784068
2008-01,0.034887453323930714
2007-12,-0.14641783059018634
2007-11,-0.005069645195066066
2007-10,-0.09614410961026974
2007-09,0.09156681524107398
2007-08,0.024341171799690968
2007-07,0.052286899954348875
2007-06,-0.10735621389918253
2007-05,-0.08143813953747177
2007-04,-0.004886311589811269
2007-03,0.052005757815812285
2007-02,0.008724327798786258
2007-01,-0.023746629092239485
2006-12,0.018196898022845544
2006-11,-0.014686185273489435
2006-10,0.019409133833730243
2006-09,0.04752871439814559
